,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
41,41,1993-05-01,0.6807795732595588,0.6182309286731459,1987,1.0406536807822275,280000.0,249000.0,249000.0,249000.0,249000.0,278000.0,47031.90406521941
45,45,1993-06-01,-0.5587265906386362,1.4557548066917008,1987,1.0406536807822275,275000.0,265000.0,265000.0,265000.0,265000.0,263333.3333333333,12583.057392118022
46,46,1993-06-01,0.0610264913104613,-2.4806074199955064,1987,1.0406536807822275,230000.0,265000.0,265000.0,265000.0,265000.0,251666.66666666666,22546.248764114527
47,47,1993-06-01,-0.5587265906386362,-0.9730644395621078,1987,1.0406536807822275,220000.0,265000.0,265000.0,265000.0,265000.0,241666.66666666666,29297.326385411616
48,48,1993-06-01,-0.5587265906386362,-1.224321602967674,1987,1.0406536807822275,330000.0,265000.0,265000.0,265000.0,265000.0,260000.0,60827.62530298221
49,49,1993-06-01,-1.1784796725877336,-2.3131026443917952,1987,1.0406536807822275,250000.0,265000.0,265000.0,265000.0,265000.0,266666.6666666667,56862.40703077329
50,50,1993-06-01,0.0610264913104613,0.6182309286731459,1987,1.0406536807822275,315000.0,265000.0,265000.0,265000.0,265000.0,298333.3333333333,42524.50274057693
54,54,1993-07-01,-0.5587265906386362,0.3669737652675794,1987,1.0406536807822275,285000.0,265000.0,265000.0,265000.0,265000.0,246666.66666666666,34034.29642777025
55,55,1993-07-01,-0.5587265906386362,0.283221377465724,1987,1.0406536807822275,360000.0,265000.0,265000.0,265000.0,265000.0,288333.3333333333,70059.49852327902
56,56,1993-07-01,-1.1784796725877336,0.283221377465724,1987,1.0406536807822275,370000.0,265000.0,265000.0,265000.0,265000.0,338333.3333333333,46457.86621588789
60,60,1993-08-01,0.6807795732595588,0.3669737652675794,1987,1.0406536807822275,412000.0,330000.0,330000.0,330000.0,330000.0,337333.3333333333,64663.23014923815
61,61,1993-08-01,0.0610264913104613,0.283221377465724,1987,1.0406536807822275,360000.0,330000.0,330000.0,330000.0,330000.0,357333.3333333333,56047.598818623286
62,62,1993-08-01,0.6807795732595588,0.283221377465724,1987,1.0406536807822275,450000.0,330000.0,330000.0,330000.0,330000.0,407333.3333333333,45181.11699961991
66,66,1993-09-01,0.6807795732595588,0.283221377465724,1987,1.0406536807822275,385000.0,333500.0,333500.0,333500.0,333500.0,371666.6666666667,95699.18146637069
77,77,1994-01-01,-1.1784796725877336,1.4557548066917008,1987,0.9331155207469004,320000.0,367500.0,367500.0,367500.0,367500.0,326666.6666666667,30550.504633039116
78,78,1994-01-01,0.0610264913104613,0.1994689896638685,1987,0.9331155207469004,375000.0,367500.0,367500.0,367500.0,367500.0,351666.6666666667,28431.203515386816
79,79,1994-01-01,-1.1784796725877336,0.283221377465724,1987,0.9331155207469004,390000.0,367500.0,367500.0,367500.0,367500.0,361666.6666666667,36855.57397916011
80,80,1994-01-01,1.3005326552086565,0.283221377465724,1987,0.9331155207469004,427000.0,367500.0,367500.0,367500.0,367500.0,397333.3333333333,26764.40422152795
81,81,1994-01-01,-1.1784796725877336,0.283221377465724,1987,0.9331155207469004,390000.0,367500.0,367500.0,367500.0,367500.0,402333.3333333333,21361.95996001639
87,87,1994-03-01,0.6807795732595588,0.3669737652675794,1987,0.9331155207469004,500000.0,382500.0,382500.0,382500.0,382500.0,400000.0,91651.51389911686
98,98,1994-07-01,0.6807795732595588,-0.9730644395621078,1987,0.9331155207469004,403000.0,420000.0,420000.0,420000.0,420000.0,421000.0,15588.457268120197
99,99,1994-07-01,-1.1784796725877336,0.3669737652675794,1987,0.9331155207469004,370000.0,420000.0,420000.0,420000.0,420000.0,401000.0,30049.958402633594
100,100,1994-07-01,-1.1784796725877336,0.283221377465724,1987,0.9331155207469004,485000.0,420000.0,420000.0,420000.0,420000.0,419333.3333333333,59214.30007467237
