,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
213,213,1993-11-01,0.6807795732595588,0.7184602031295791,1975,1.1346168757175277,20000.0,15500.0,15500.0,15500.0,15500.0,23000.0,3605.551275463974
214,214,1993-11-01,0.6807795732595588,-1.2861891389359132,1969,0.340768856922818,15500.0,15500.0,15500.0,15500.0,15500.0,19166.666666666668,3329.164059239688
218,218,1993-12-01,0.6807795732595588,0.7184602031295791,1977,1.399232881982431,39000.0,20000.0,20000.0,20000.0,20000.0,31000.0,7999.999999999986
219,219,1993-12-01,0.0610264913104613,0.7184602031295791,1975,1.1346168757175277,20000.0,20000.0,20000.0,20000.0,20000.0,27333.333333333332,10214.3689640297
220,220,1993-12-01,0.0610264913104613,0.7184602031295791,1975,1.1346168757175277,25000.0,20000.0,20000.0,20000.0,20000.0,28000.0,9848.857801796095
221,221,1993-12-01,-1.1784796725877336,0.7184602031295791,1975,1.1346168757175277,18000.0,20000.0,20000.0,20000.0,20000.0,21000.0,3605.5512754639753
222,222,1993-12-01,-0.5587265906386362,0.7184602031295791,1975,1.1346168757175277,20000.0,20000.0,20000.0,20000.0,20000.0,21000.0,3605.5512754639753
223,223,1993-12-01,0.0610264913104613,0.7184602031295791,1975,1.1346168757175277,20000.0,20000.0,20000.0,20000.0,20000.0,19333.333333333332,1154.7005383792168
224,224,1993-12-01,0.6807795732595588,-1.2861891389359132,1969,0.340768856922818,15000.0,20000.0,20000.0,20000.0,20000.0,18333.333333333332,2886.751345948118
225,225,1993-12-01,-0.5587265906386362,-1.2861891389359132,1969,0.340768856922818,18000.0,20000.0,20000.0,20000.0,20000.0,17666.666666666668,2516.611478423573
229,229,1994-01-01,-0.5587265906386362,0.7184602031295791,1977,1.2669248788499794,23000.0,23000.0,23000.0,23000.0,23000.0,25333.333333333332,2516.611478423551
230,230,1994-01-01,-1.1784796725877336,-1.2861891389359132,1969,0.2084608537903664,13000.0,23000.0,23000.0,23000.0,23000.0,20333.333333333332,6429.100507328631
231,231,1994-01-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,23000.0,23000.0,23000.0,23000.0,23000.0,19666.666666666668,5773.502691896252
232,232,1994-01-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,15000.0,23000.0,23000.0,23000.0,23000.0,17000.0,5291.502622129178
233,233,1994-01-01,0.0610264913104613,0.7184602031295791,1975,1.002308872585076,16000.0,23000.0,23000.0,23000.0,23000.0,18000.0,4358.898943540668
