[I 2025-01-08 12:40:21,819] Trial 26 finished with value: 28563.277719992937 and parameters: {'iterations': 2833, 'depth': 11, 'learning_rate': 0.04962908140786971, 'l2_leaf_reg': 3.505730128581801, 'bagging_temperature': 0.7560666240788422, 'random_strength': 0.002868868522451911, 'border_count': 245, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 1, 'one_hot_max_size': 5}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 12:49:29,593] Trial 27 finished with value: 28038.00700807794 and parameters: {'iterations': 2388, 'depth': 12, 'learning_rate': 0.16702903357759707, 'l2_leaf_reg': 3.5035207019602845, 'bagging_temperature': 0.7190049141917044, 'random_strength': 0.0012340270803721796, 'border_count': 179, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 8, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 12:56:53,633] Trial 28 finished with value: 28040.212734478668 and parameters: {'iterations': 1927, 'depth': 12, 'learning_rate': 0.1637476315111648, 'l2_leaf_reg': 3.4033946167608993, 'bagging_temperature': 0.6561363868780216, 'random_strength': 0.001096333648197918, 'border_count': 188, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 5, 'one_hot_max_size': 3}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 13:06:41,804] Trial 29 finished with value: 28071.385875514738 and parameters: {'iterations': 2568, 'depth': 12, 'learning_rate': 0.09705147841846075, 'l2_leaf_reg': 4.022883645812684, 'bagging_temperature': 0.668977107583933, 'random_strength': 0.0014132332593945, 'border_count': 176, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 5, 'one_hot_max_size': 3}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 13:14:02,123] Trial 30 finished with value: 29197.920504711692 and parameters: {'iterations': 1902, 'depth': 12, 'learning_rate': 0.03408164985296815, 'l2_leaf_reg': 0.9576177076645377, 'bagging_temperature': 0.5633943305567644, 'random_strength': 2.4179929211812023, 'border_count': 180, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 8, 'one_hot_max_size': 2}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 13:20:36,285] Trial 31 finished with value: 28064.96586896504 and parameters: {'iterations': 2062, 'depth': 11, 'learning_rate': 0.16634196268635587, 'l2_leaf_reg': 2.5133431281028757, 'bagging_temperature': 0.7965773826076927, 'random_strength': 0.002590067565674671, 'border_count': 214, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 4, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 13:28:38,900] Trial 32 finished with value: 28041.61137960863 and parameters: {'iterations': 2070, 'depth': 12, 'learning_rate': 0.16886439518625784, 'l2_leaf_reg': 5.083889781386824, 'bagging_temperature': 0.8177881453954087, 'random_strength': 0.004349361387335329, 'border_count': 204, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 5, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 13:35:45,214] Trial 33 finished with value: 28072.862782375243 and parameters: {'iterations': 1821, 'depth': 12, 'learning_rate': 0.16840497650596525, 'l2_leaf_reg': 5.181659481308675, 'bagging_temperature': 0.6240704004879841, 'random_strength': 0.004685757846651689, 'border_count': 196, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 4, 'one_hot_max_size': 3}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 13:45:28,368] Trial 34 finished with value: 28058.797154166226 and parameters: {'iterations': 2560, 'depth': 12, 'learning_rate': 0.10545377642900847, 'l2_leaf_reg': 1.8616945155005646, 'bagging_temperature': 0.7058641109436875, 'random_strength': 0.0015032003135509488, 'border_count': 152, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 6, 'one_hot_max_size': 5}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 13:50:24,267] Trial 35 finished with value: 28296.35058903842 and parameters: {'iterations': 1567, 'depth': 11, 'learning_rate': 0.11697296710314685, 'l2_leaf_reg': 0.7554509910233849, 'bagging_temperature': 0.8117122522974769, 'random_strength': 0.0038865562673173508, 'border_count': 176, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 9, 'one_hot_max_size': 4}. Best is trial 2 with value: 28027.538142099846.
