year_month,mean,median_price,high_price,low_price,Index,Change,prev_close,rolling_mean
2004-11-01,237625.61486486485,235000.0,257055.0,215000.0,77.21649977,1.00%,237625.61486486485,235000.0
2004-12-01,237894.9252814739,236000.0,260000.0,212000.0,77.21649977,1.00%,237625.61486486485,235333.33333333334
2005-01-01,237179.41052137152,235500.0,260000.0,212000.0,77.29371627,0.10%,237894.9252814739,235500.0
2005-02-01,237179.41052137152,235500.0,260000.0,212000.0,77.29371627,0.10%,237179.41052137152,235666.66666666666
2005-03-01,240849.16718266252,239000.0,265000.0,212000.0,77.29371627,0.10%,237179.41052137152,236666.66666666666
2005-04-01,237257.6349954833,235000.0,258000.0,213000.0,73.58361789,-4.80%,240849.16718266252,236500.0
2005-05-01,237257.6349954833,235000.0,258000.0,213000.0,73.58361789,-4.80%,237257.6349954833,236333.33333333334
2005-06-01,232654.88707926168,230000.0,250000.0,210000.0,73.58361789,-4.80%,237257.6349954833,233333.33333333334
2005-07-01,232151.3208837454,228000.0,248000.0,208000.0,73.28928342,-0.40%,232654.88707926168,231000.0
2005-08-01,232151.3208837454,228000.0,248000.0,208000.0,73.28928342,-0.40%,232151.3208837454,228666.66666666666
2005-09-01,231128.87272727274,226500.0,245000.0,210000.0,73.28928342,-0.40%,232151.3208837454,227500.0
2005-10-01,231885.36680327868,228000.0,245000.0,210000.0,73.58244055,0.40%,231128.87272727274,227500.0
2005-11-01,231885.36680327868,228000.0,245000.0,210000.0,73.58244055,0.40%,231885.36680327868,227500.0
2005-12-01,234290.18724279836,230000.0,248125.0,212000.0,73.58244055,0.40%,231885.36680327868,228666.66666666666
2006-01-01,233026.54371921183,229000.0,248000.0,210000.0,73.65602299,0.10%,234290.18724279836,229000.0
2006-02-01,233026.54371921183,229000.0,248000.0,210000.0,73.65602299,0.10%,233026.54371921183,229333.33333333334
2006-03-01,231876.57969303423,228000.0,245750.0,210000.0,73.65602299,0.10%,233026.54371921183,228666.66666666666
2006-04-01,234612.8641273451,230000.0,250000.0,210000.0,74.39258322,1.00%,231876.57969303423,229000.0
2006-05-01,234612.8641273451,230000.0,250000.0,210000.0,74.39258322,1.00%,234612.8641273451,229333.33333333334
2006-06-01,235051.92931633836,230000.0,250000.0,208000.0,74.39258322,1.00%,234612.8641273451,230000.0
2006-07-01,236237.50961600864,230000.0,252000.0,210000.0,74.31819064,-0.10%,235051.92931633836,230000.0
2006-08-01,236237.50961600864,230000.0,252000.0,210000.0,74.31819064,-0.10%,236237.50961600864,230000.0
2006-09-01,237723.7280799112,231500.0,255000.0,210000.0,74.31819064,-0.10%,236237.50961600864,230500.0
2006-10-01,236582.0046756283,230000.0,252000.0,210000.0,74.98705436,0.90%,237723.7280799112,230500.0
2006-11-01,236582.0046756283,230000.0,252000.0,210000.0,74.98705436,0.90%,236582.0046756283,230500.0
2006-12-01,236624.53453001133,231000.0,255000.0,210000.0,74.98705436,0.90%,236582.0046756283,230333.33333333334
2007-01-01,239137.42344045368,232000.0,255400.0,213000.0,75.88689901,1.20%,236624.53453001133,231000.0
