iter	Passed	Remaining
1035	88901	156865
1036	88986	156778
1037	89071	156690
1038	89154	156599
1039	89235	156505
1040	89322	156422
1041	89406	156332
1042	89491	156245
1043	89583	156170
1044	89668	156083
1045	89752	155994
1046	89841	155913
1047	89939	155849
1048	90024	155762
1049	90106	155669
1050	90188	155577
1051	90278	155499
1052	90365	155415
1053	90452	155331
1054	90540	155248
1055	90625	155161
1056	90712	155078
1057	90794	154986
1058	90881	154902
1059	90993	154860
1060	91075	154768
1061	91160	154681
1062	91247	154596
1063	91333	154511
1064	91420	154428
1065	91504	154339
1066	91585	154245
1067	91671	154159
1068	91753	154066
1069	91834	153972
1070	91935	153912
1071	92020	153825
1072	92112	153750
1073	92200	153668
1074	92287	153583
1075	92373	153497
1076	92457	153409
1077	92543	153324
1078	92628	153236
1079	92716	153154
1080	92796	153057
1081	92882	152972
1082	92972	152893
1083	93052	152797
1084	93139	152715
1085	93227	152632
1086	93312	152544
1087	93395	152454
1088	93486	152376
1089	93567	152282
1090	93652	152196
1091	93736	152107
1092	93817	152014
1093	93902	151925
1094	93998	151857
1095	94081	151765
1096	94162	151672
1097	94245	151582
1098	94329	151493
1099	94412	151403
1100	94500	151320
1101	94589	151239
1102	94670	151147
1103	94756	151061
1104	94840	150972
1105	94926	150886
1106	95046	150854
1107	95127	150761
1108	95214	150677
1109	95298	150588
1110	95385	150504
1111	95470	150416
1112	95560	150338
1113	95651	150260
1114	95731	150165
1115	95815	150076
1116	95902	149992
1117	95986	149903
1118	96216	150043
1119	96303	149958
1120	96383	149862
1121	96468	149775
1122	96556	149692
1123	96648	149616
1124	96736	149532
1125	96827	149454
1126	96916	149373
1127	97013	149305
1128	97114	149242
1129	97216	149179
1130	97303	149094
1131	97392	149014
1132	97484	148936
1133	97570	148851
1134	97659	148770
1135	97754	148697
1136	97846	148619
1137	97935	148538
1138	98026	148460
1139	98112	148373
1140	98200	148290
1141	98300	148225
1142	98383	148134
1143	98470	148050
1144	98563	147974
1145	98651	147891
1146	98736	147802
1147	98819	147713
1148	98907	147628
1149	98999	147552
1150	99082	147461
1151	99170	147378
1152	99250	147283
1153	99346	147211
1154	99438	147133
1155	99521	147043
1156	99598	146943
1157	99683	146856
1158	99766	146766
1159	99844	146668
1160	99936	146590
1161	100023	146506
1162	100108	146417
1163	100197	146336
1164	100280	146246
1165	100382	146182
1166	100467	146095
1167	100552	146007
1168	100629	145908
1169	100718	145826
1170	100801	145735
1171	100888	145651
1172	100970	145559
1173	101052	145466
1174	101136	145378
1175	101221	145290
1176	101309	145207
1177	101406	145136
1178	101493	145052
1179	101576	144961
1180	101663	144877
1181	101741	144779
1182	101829	144696
1183	101914	144608
1184	101999	144520
1185	102079	144426
1186	102167	144342
1187	102249	144251
1188	102331	144159
1189	102427	144087
1190	102511	143998
1191	102598	143913
1192	102683	143825
1193	102771	143742
1194	102857	143656
1195	102938	143563
1196	103024	143476
1197	103109	143389
1198	103189	143295
1199	103273	143205
1200	103353	143111
1201	103451	143042
1202	103538	142956
1203	103620	142865
1204	103708	142781
1205	103792	142692
1206	103891	142625
1207	103981	142544
1208	104065	142454
1209	104148	142364
1210	104235	142279
1211	104318	142189
1212	104401	142100
1213	104495	142024
1214	104585	141943
1215	104693	141887
1216	104779	141800
1217	104860	141708
1218	104943	141617
1219	105026	141528
1220	105112	141441
1221	105195	141350
1222	105279	141261
1223	105362	141171
1224	105460	141101
1225	105547	141016
1226	105632	140930
1227	105716	140840
1228	105798	140749
1229	105880	140657
1230	105967	140573
1231	106061	140497
1232	106145	140408
1233	106230	140321
1234	106315	140233
1235	106404	140150
1236	106502	140079
1237	106587	139992
1238	106667	139899
1239	106752	139811
1240	106840	139727
1241	106923	139637
1242	107011	139553
1243	107100	139472
1244	107187	139386
1245	107268	139294
1246	107358	139212
1247	107444	139126
1248	107549	139065
1249	107638	138982
1250	107721	138892
1251	107811	138811
1252	107892	138718
1253	107982	138637
1254	108065	138547
1255	108156	138467
1256	108241	138379
1257	108326	138292
