new_date,flat_type,district,range_numeric,floor_area_sqm,lease_commence_date,resale_price
2025.0833333333333,3 ROOM,North-East,5.0,68.0,2019,488000.0
2025.0833333333333,3 ROOM,North-East,11.0,67.0,1981,432000.0
2025.0833333333333,3 ROOM,North-East,5.0,67.0,1982,380000.0
2025.0833333333333,3 ROOM,North-East,2.0,71.0,1985,420000.0
2025.0833333333333,3 ROOM,North-East,5.0,67.0,1986,420000.0
2025.0833333333333,3 ROOM,North-East,5.0,74.0,1987,460000.0
2025.0833333333333,3 ROOM,North-East,2.0,74.0,1987,456000.0
2025.0833333333333,3 ROOM,North-East,2.0,74.0,1987,432000.0
2025.0833333333333,4 ROOM,North-East,5.0,91.0,1981,548888.0
2025.0833333333333,4 ROOM,North-East,5.0,113.0,1989,700000.0
2025.0833333333333,4 ROOM,North-East,5.0,84.0,1987,560000.0
2025.0833333333333,4 ROOM,North-East,5.0,91.0,1985,525000.0
2025.0833333333333,4 ROOM,North-East,8.0,104.0,1983,625000.0
2025.0833333333333,4 ROOM,North-East,5.0,93.0,1985,560000.0
2025.0833333333333,4 ROOM,North-East,14.0,105.0,1992,700000.0
2025.0833333333333,4 ROOM,North-East,5.0,101.0,1999,575000.0
2025.0833333333333,4 ROOM,North-East,8.0,104.0,1992,630000.0
2025.0833333333333,5 ROOM,North-East,8.0,121.0,1987,808888.0
2025.0833333333333,5 ROOM,North-East,17.0,113.0,2015,858000.0
2025.0833333333333,EXECUTIVE,North-East,2.0,148.0,1991,918000.0
2025.0833333333333,3 ROOM,West,5.0,68.0,1982,425000.0
2025.0833333333333,3 ROOM,West,8.0,67.0,1983,405000.0
2025.0833333333333,3 ROOM,West,2.0,67.0,1981,400000.0
2025.0833333333333,3 ROOM,West,5.0,68.0,1983,380000.0
2025.0833333333333,3 ROOM,West,29.0,72.0,2013,535000.0
2025.0833333333333,4 ROOM,West,5.0,97.0,1978,470000.0
2025.0833333333333,4 ROOM,West,2.0,97.0,1978,445000.0
2025.0833333333333,4 ROOM,West,5.0,92.0,2013,595000.0
2025.0833333333333,4 ROOM,West,8.0,101.0,1998,638000.0
2025.0833333333333,5 ROOM,West,5.0,120.0,1981,598000.0
2025.0833333333333,5 ROOM,West,14.0,121.0,1985,648000.0
2025.0833333333333,5 ROOM,West,8.0,121.0,1983,665000.0
2025.0833333333333,EXECUTIVE,West,11.0,143.0,1998,1025000.0
2025.0833333333333,2 ROOM,West,5.0,47.0,2019,343000.0
2025.0833333333333,3 ROOM,West,5.0,68.0,2017,535000.0
2025.0833333333333,3 ROOM,West,2.0,67.0,1984,370000.0
2025.0833333333333,4 ROOM,West,5.0,93.0,2015,600000.0
2025.0833333333333,4 ROOM,West,17.0,93.0,2019,696000.0
2025.0833333333333,4 ROOM,West,5.0,104.0,1990,523888.0
2025.0833333333333,4 ROOM,West,8.0,99.0,1998,660000.0
2025.0833333333333,4 ROOM,West,8.0,99.0,1998,655001.0
2025.0833333333333,4 ROOM,West,11.0,93.0,2018,620000.0
2025.0833333333333,4 ROOM,West,5.0,104.0,1985,495000.0
2025.0833333333333,4 ROOM,West,5.0,104.0,1991,515000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1990,525000.0
2025.0833333333333,4 ROOM,West,8.0,104.0,1990,536888.0
2025.0833333333333,4 ROOM,West,2.0,103.0,1988,495000.0
2025.0833333333333,4 ROOM,West,5.0,91.0,2014,690000.0
2025.0833333333333,4 ROOM,West,2.0,90.0,2001,480000.0
2025.0833333333333,5 ROOM,West,11.0,114.0,2018,790888.0
2025.0833333333333,5 ROOM,West,17.0,112.0,2003,638000.0
2025.0833333333333,5 ROOM,West,8.0,121.0,1985,606000.0
2025.0833333333333,5 ROOM,West,14.0,110.0,2002,638000.0
2025.0833333333333,5 ROOM,West,5.0,110.0,2001,645000.0
2025.0833333333333,5 ROOM,West,11.0,111.0,2000,758000.0
2025.0833333333333,5 ROOM,West,11.0,110.0,2000,690000.0
2025.0833333333333,5 ROOM,West,2.0,110.0,2008,540000.0
2025.0833333333333,5 ROOM,West,8.0,110.0,2001,590000.0
2025.0833333333333,5 ROOM,West,8.0,121.0,1990,580000.0
2025.0833333333333,5 ROOM,West,5.0,132.0,1989,580000.0
2025.0833333333333,5 ROOM,West,14.0,121.0,1997,665000.0
2025.0833333333333,5 ROOM,West,20.0,108.0,2014,900000.0
2025.0833333333333,5 ROOM,West,8.0,126.0,1996,678888.0
2025.0833333333333,EXECUTIVE,West,11.0,148.0,1985,725000.0
2025.0833333333333,EXECUTIVE,West,14.0,130.0,2000,812000.0
2025.0833333333333,EXECUTIVE,West,11.0,146.0,1993,790000.0
2025.0833333333333,3 ROOM,Central,8.0,56.0,1970,320000.0
2025.0833333333333,3 ROOM,Central,5.0,60.0,1969,410000.0
2025.0833333333333,3 ROOM,Central,8.0,65.0,1981,488000.0
2025.0833333333333,3 ROOM,Central,2.0,63.0,1986,460800.0
2025.0833333333333,3 ROOM,Central,14.0,70.0,2017,782000.0
2025.0833333333333,3 ROOM,Central,5.0,66.0,1980,371000.0
2025.0833333333333,4 ROOM,Central,8.0,88.0,1974,567000.0
2025.0833333333333,4 ROOM,Central,11.0,88.0,1974,625000.0
2025.0833333333333,4 ROOM,Central,8.0,92.0,1982,613888.0
2025.0833333333333,4 ROOM,Central,11.0,91.0,1976,683000.0
2025.0833333333333,4 ROOM,Central,5.0,93.0,1981,600000.0
2025.0833333333333,4 ROOM,Central,2.0,104.0,1987,720500.0
2025.0833333333333,4 ROOM,Central,26.0,93.0,2017,1122000.0
2025.0833333333333,4 ROOM,Central,5.0,84.0,1987,644000.0
2025.0833333333333,4 ROOM,Central,2.0,95.0,2017,908888.0
2025.0833333333333,4 ROOM,Central,14.0,88.0,2017,1050000.0
2025.0833333333333,4 ROOM,Central,5.0,91.0,1974,490000.0
2025.0833333333333,4 ROOM,Central,11.0,91.0,1974,530000.0
2025.0833333333333,5 ROOM,Central,20.0,107.0,2011,1290000.0
2025.0833333333333,3 ROOM,East,2.0,76.0,1975,510000.0
2025.0833333333333,3 ROOM,East,8.0,76.0,1975,535000.0
2025.0833333333333,3 ROOM,East,8.0,65.0,1975,460000.0
2025.0833333333333,5 ROOM,East,20.0,120.0,1977,945000.0
2025.0833333333333,5 ROOM,East,2.0,120.0,1977,833333.0
2025.0833333333333,5 ROOM,East,26.0,122.0,1975,1065000.0
2025.0833333333333,2 ROOM,East,8.0,47.0,2015,420000.0
2025.0833333333333,4 ROOM,East,11.0,104.0,1995,618000.0
2025.0833333333333,4 ROOM,East,5.0,112.0,1992,648000.0
2025.0833333333333,4 ROOM,East,5.0,93.0,2015,705000.0
2025.0833333333333,5 ROOM,East,5.0,122.0,1993,745888.0
2025.0833333333333,EXECUTIVE,East,2.0,143.0,1995,875000.0
2025.0833333333333,EXECUTIVE,East,5.0,150.0,1993,964000.0
2025.0833333333333,2 ROOM,North-East,2.0,47.0,2018,365000.0
2025.0833333333333,3 ROOM,North-East,14.0,65.0,2015,498000.0
2025.0833333333333,3 ROOM,North-East,8.0,68.0,2016,485000.0
2025.0833333333333,3 ROOM,North-East,2.0,70.0,2013,560000.0
2025.0833333333333,3 ROOM,North-East,8.0,67.0,2014,538000.0
2025.0833333333333,3 ROOM,North-East,17.0,67.0,2016,555888.0
2025.0833333333333,3 ROOM,North-East,14.0,67.0,2014,540000.0
2025.0833333333333,3 ROOM,North-East,2.0,68.0,2018,490000.0
2025.0833333333333,3 ROOM,North-East,2.0,68.0,2020,485000.0
2025.0833333333333,4 ROOM,North-East,5.0,93.0,2017,618888.0
